"","FM_STRCP","FM_TYPE","FM_STRP","TELN_FLG","CURWRKN","TELCELN","FLNGINTV","F10DVYN","FDMEDYN","FHCDVYN","FHCHMYN","FHCPHRYN","FHOSP2YN","FNMEDYN","FSRUNOUT","FSLAST","FSBALANC","FLAADLYN","FLIADLYN","FWKLIMYN","FWALKYN","FREMEMYN","FANYLYN","HOUSEOWN","FSNAP","INCGRP4","INCGRP5","FSALYN","FSEINCYN","FSSRRYN","FPENSYN","FOPENSYN","FSSIYN","FTANFYN","FOWBENYN","FINTR1YN","FDIVDYN","FCHSPYN","FINCOTYN","FSSAPLYN","FSDAPLYN","FMEDBILL","FMEDBPAY","FSAF","FHICOVYN"
"115",11,1,11,1,2,1,1,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1
"116",21,2,21,1,2,2,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1
"117",11,1,11,1,2,1,1,1,1,2,2,2,1,1,3,3,3,2,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1
"119",21,2,21,1,1,1,1,2,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1
"121",33,3,33,1,2,1,1,1,2,1,2,2,2,2,2,3,3,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1
"122",23,2,23,1,1,1,1,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
"123",11,1,11,1,2,1,1,1,2,2,2,2,2,2,2,2,3,2,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1
"124",21,2,21,1,1,1,1,2,2,1,2,2,1,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1
"125",21,2,21,1,1,1,1,1,2,2,2,2,1,2,3,3,3,2,2,2,1,2,1,1,2,5,4,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1
"126",11,1,11,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"127",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"128",12,1,12,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,3,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1
"129",12,1,12,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"130",21,2,21,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1
"132",21,2,21,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"133",41,4,41,1,2,1,1,1,2,2,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1
"134",11,1,11,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1
"135",21,2,21,1,2,1,1,1,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1
"136",21,2,21,1,2,2,1,2,2,1,2,2,2,2,3,3,3,2,2,1,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1
"137",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"138",11,1,11,1,2,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"139",44,4,44,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1
"140",11,1,11,1,2,2,1,2,1,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"141",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
"145",11,1,11,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"146",11,1,11,1,2,1,1,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"147",11,1,11,1,1,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
"148",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
"149",31,3,31,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1
"150",11,1,11,1,2,1,1,1,2,2,2,2,2,2,2,1,3,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"151",21,2,21,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"155",23,2,23,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1
"156",21,2,21,1,1,1,1,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1
"157",11,1,11,1,2,1,1,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1
"158",21,2,21,1,2,1,1,2,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1
"160",22,2,22,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"161",41,4,41,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"162",43,4,42,1,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"165",31,3,31,1,2,1,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"166",11,1,11,1,2,1,1,2,1,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"167",41,4,41,1,1,1,1,1,2,1,2,1,2,2,3,3,3,2,2,2,2,2,1,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"169",41,4,41,1,1,2,1,1,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1
"173",11,1,11,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,4,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
"174",41,4,41,1,1,1,1,2,2,1,2,1,2,2,3,3,3,2,2,2,2,2,2,1,2,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"176",44,4,44,1,1,1,2,1,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1
